Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
69,Spoofing the nginx ingress Process,Spoofing,Diagram 1,HTTP,High,Not Started,,nginx ingress may be spoofed by an attacker and this may lead to unauthorized access to express nodejs. Consider using a standard authentication mechanism to identify the source process.,,Generated
68,Elevation by Changing the Execution Flow in nginx ingress,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,An attacker may pass data into nginx ingress in order to change the flow of program execution within nginx ingress to the attacker's choosing.,,Generated
66,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTPS,High,Not Started,,nginx ingress may be able to impersonate the context of Human User  in order to gain additional privilege.,,Generated
65,Data Flow HTTPS Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
64,Potential Process Crash or Stop for nginx ingress,Denial Of Service,Diagram 1,HTTPS,High,Not Started,,"nginx ingress crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
63,Potential Data Repudiation by nginx ingress,Repudiation,Diagram 1,HTTPS,High,Not Started,,"nginx ingress claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
62,JavaScript Object Notation Processing,Tampering,Diagram 1,HTTPS,High,Not Started,,"If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.",,Generated
61,Spoofing the Human User  External Entity,Spoofing,Diagram 1,HTTPS,High,Not Started,,Human User  may be spoofed by an attacker and this may lead to unauthorized access to nginx ingress. Consider using a standard authentication mechanism to identify the external entity.,,Generated
74,Data Flow Sniffing,Information Disclosure,Diagram 1,HTTP,High,Not Started,,"Data flowing across HTTP may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
75,Potential Process Crash or Stop for express nodejs,Denial Of Service,Diagram 1,HTTP,High,Not Started,,"express nodejs crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
76,Data Flow HTTP Is Potentially Interrupted,Denial Of Service,Diagram 1,HTTP,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
77,Elevation Using Impersonation,Elevation Of Privilege,Diagram 1,HTTP,High,Not Started,,express nodejs may be able to impersonate the context of nginx ingress in order to gain additional privilege.,,Generated
78,express nodejs May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Diagram 1,HTTP,High,Not Started,,nginx ingress may be able to remotely execute code for express nodejs.,,Generated
79,Elevation by Changing the Execution Flow in express nodejs,Elevation Of Privilege,Diagram 1,HTTP,High,Not Started,,An attacker may pass data into express nodejs in order to change the flow of program execution within express nodejs to the attacker's choosing.,,Generated
